Ai studiat anterior no?iuni de statistic? sau analiz? a datelor?,Ce not? ai ob?inut la cursul de Probabilit??i ?i Statistic? Matematic? (anul 1)?,Ce not? ai ob?inut la cursul de Statistic? Economic? (anul 2)?,Ce profil ai avut în liceu?,În prezent:,Cum apreciezi nivelul t?u actual de interes fa?? de analiza datelor?,Cât de dificil crezi c? va fi acest curs?,Ai inten?ia s? studiezi mai departe analiza datelor dup? acest curs?,?i-ar pl?cea s? lucrezi în domeniul statisticii sau analizei datelor dup? terminarea studiilor?,Cât timp ai disponibil pe s?pt?mân? pentru a studia acest curs?,Ce te motiveaz? s? participi la acest curs?,"Cum consideri c? ai nevoie de suport suplimentar pentru a în?elege conceptele statistice?
"Da, dar doar elemente de baz?",6,8,Altul,Lucrez într-un alt domeniu,4,3,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",Mai pu?in de 2 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin exemple practice,3,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video",2025/03/07 22:19:19,Da,CE3,5,2,2,2,1,2,7,1,1,2,1,4,1,3,2,1,7,1,2,1,3,5,5,2,3,2,7,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,4,3,2,2,3,4,5,5,5,5,4,3,3,2025/03/10 15:53:56,Da,3,3,2,2,5,4,4,5,5,3,2,2,4,4,5,4,5,5,3,5,5,5,4,4,3,4,5,4,4,3,1,1,6,2,3,4,5,5,5,1,2,5,5,4,5,1,4,5,4,5,1,5,5,4,5,3,1,5,5,3,7,5,7,7,7,4,5,5,7,4,7,7,7,7,7,7,6,7,7,7,7,7,7,5.142857143,3,4,1,1,0,0,9,3.375,4.25,3.5,0.842105263,3,0.666666667,3.666666667,3.666666667,2.916666667,1.608695652
"Da, dar doar elemente de baz?",7,10,Matematic?-informatic?,Lucrez într-un alt domeniu,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Suport suplimentar din partea profesorului,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,4,Proiecte practice,3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, suport din partea profesorului",2025/03/07 12:22:02,Da,CE3,5,2,2,4,1,4,7,1,1,1,1,6,1,7,1,2,6,1,2,1,4,7,6,1,6,2,4,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,2,2,2025/03/10 18:37:28,Da,1,1,1,1,1,2,1,2,5,1,1,5,4,5,4,5,5,5,2,5,3,2,4,2,4,5,4,6,5,6,1,2,1,1,2,1,3,2,2,3,2,4,3,2,2,3,1,4,4,5,1,5,5,4,3,1,1,2,5,1,7,5,6,6,6,5,6,5,6,4,3,5,5,7,6,7,6,4,7,3,6,6,7,5.714285714,3,4,1,0,0,1,9,5,3.625,1.4,1.157894737,2.333333333,2.666666667,5,2.266666667,3.25,1.52173913
"Da, dar doar elemente de baz?",7,7,Matematic?-informatic?,Lucrez într-un alt domeniu,3,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,4,Proiecte practice,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Nu, m? descurc s? înv?? singur(?)",2025/03/07 21:35:11,Da,CE3,5,5,2,2,3,6,3,2,5,2,3,2,5,2,2,3,6,3,7,5,4,5,4,4,4,5,3,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,3,3,2,5,4,4,3,3,3,2,2025/03/10 14:28:07,Da,2,1,5,3,5,5,2,2,4,1,4,4,5,3,3,3,3,2,2,5,2,4,3,1,5,5,4,5,2,5,1,1,5,2,3,2,5,2,2,5,2,4,5,4,2,2,5,5,2,1,3,4,4,2,2,1,1,5,3,1,6,5,6,4,4,2,4,5,4,4,5,3,3,5,3,5,7,6,2,2,5,3,4,3.75,3,3,1,0,1,2,9,3.75,3.125,3.4,0.894736842,3.333333333,1,4.333333333,3.466666667,2.583333333,1.347826087
"Da, dar doar elemente de baz?",6,9,Matematic?-informatic?,Nu lucrez în prezent,3,4,"Poate, dac? mi se pare util",Nu cred c? m? intereseaz?,2-4 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin rezolvarea de probleme,5,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 12:26:59,Da,CE3,4,5,4,7,2,7,2,2,1,6,7,2,1,5,4,7,1,2,3,7,7,2,5,3,7,5,4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,3,1,3,2,3,5,5,5,2025/03/10 14:17:26,Da,4,5,5,5,3,4,3,5,5,1,3,3,5,3,4,5,4,5,2,5,1,4,1,2,5,2,5,6,5,6,3,5,3,5,5,5,5,5,4,3,2,4,4,5,5,2,5,5,1,3,5,2,2,4,5,5,4,2,3,4,6,7,7,7,4,7,7,7,3,4,7,5,3,7,7,7,7,7,3,5,7,3,7,3.892857143,3,4,1,0,1,1,9,2.25,3.875,4.4,0.947368421,2.333333333,3.666666667,6,4.266666667,1.166666667,1.652173913
"Da, într-un curs avansat",7,9,Matematic?-informatic?,Lucrez într-un alt domeniu,4,3,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 14:50:10,Da,CE3,4,5,3,5,3,4,2,2,2,1,2,2,3,5,2,2,5,2,2,2,5,7,6,2,3,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,2,1,5,4,4,3,1,2,1,2025/03/10 17:57:29,Da,5,3,4,4,5,3,5,3,4,1,3,3,5,2,3,1,2,3,2,5,1,2,2,1,4,4,3,5,3,1,4,6,1,1,1,1,2,1,1,3,2,1,1,2,2,2,2,4,2,3,3,3,4,5,5,2,2,2,3,2,6,7,5,7,7,4,6,7,7,4,5,5,5,6,3,5,5,6,6,2,6,3,5,4.821428571,3,4,1,1,0,2,9,3.875,2.5,4,0.894736842,4.333333333,5,9.333333333,1.666666667,2.25,1.695652174
"Da, dar doar elemente de baz?",6,6,Matematic?-informatic?,Lucrez într-un alt domeniu,2,4,"Nu, sigur nu",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Probleme rezolvate pas cu pas,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Nu, m? descurc s? înv?? singur(?)",2025/03/07 13:06:06,Da,CE3,3,1,1,6,1,4,2,1,3,1,1,4,1,4,1,1,3,5,1,1,4,6,6,2,3,4,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,5,5,2,5,5,2,2,2,2025/03/10 20:05:22,Da,2,1,3,1,1,1,1,1,3,1,2,3,4,1,1,3,1,1,5,5,1,1,3,1,4,4,3,5,2,3,1,1,3,1,2,1,1,2,1,3,2,1,3,2,3,1,2,4,1,1,2,2,3,4,3,3,1,2,1,2,6,6,7,5,6,3,4,6,6,4,6,4,3,2,4,6,7,6,5,2,7,4,6,5.285714286,3,3,1,0,1,2,9,4.75,3.125,1.7,0.894736842,4,1.666666667,5.666666667,2,1.916666667,1.565217391
"Nu, este prima mea experien?? cu statistica",6,8,?tiin?e ale naturii,Nu lucrez în prezent,4,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",5-7 ore,Este parte din programul meu de studii,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Exemple practice ?i studii de caz,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,5,Proiecte practice,3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/09 21:34:47,Da,CE3,5,4,2,4,1,3,5,1,1,1,1,7,1,6,1,3,5,2,2,4,2,6,6,1,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,4,1,5,5,2,5,3,1,1,1,2025/03/10 15:49:45,Da,4,4,3,2,2,3,4,5,5,1,1,4,5,4,3,5,4,4,4,4,2,3,4,3,4,4,2,6,2,4,1,1,6,2,4,1,1,1,4,1,2,1,3,4,3,3,1,3,5,3,1,5,5,4,5,1,1,4,5,1,6,7,6,4,7,2,7,5,6,4,6,6,4,5,7,6,6,2,7,5,6,6,7,5.642857143,3,4,1,0,1,2,9,4,2,3.3,1.105263158,4,0.666666667,4.666666667,2.2,3.333333333,1.608695652
"Da, dar doar elemente de baz?",6,10,Altul,Lucrez într-un alt domeniu,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Suport suplimentar din partea profesorului,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Proiecte practice,4,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 13:00:08,Da,CE3,5,3,3,6,1,4,5,1,1,2,1,3,4,6,4,2,5,2,3,2,4,7,6,1,5,2,4,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,1,2,5,5,3,3,5,5,3,2025/03/10 14:28:00,Da,3,5,4,5,4,4,3,5,5,1,1,5,4,4,4,4,4,3,3,5,2,2,3,2,5,5,5,5,4,4,5,6,1,5,3,2,4,2,2,1,2,2,2,4,2,2,3,5,1,1,4,2,3,5,5,4,3,3,4,4,5,7,7,7,7,6,7,6,6,4,7,7,4,4,7,7,4,7,7,2,6,4,4,5.214285714,3,4,1,0,0,2,9,3.375,4.125,4.1,1.157894737,3,5.333333333,8.333333333,2.733333333,1.583333333,1.739130435
"Da, dar doar elemente de baz?",6,5,Altul,Nu lucrez în prezent,4,5,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin colaborare în grupuri de lucru,3,Proiecte practice,3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 12:26:28,Da,CE3,2,7,3,1,3,5,2,5,4,4,6,1,4,2,3,3,5,7,5,6,5,5,3,6,5,6,4,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,4,5,3,2,1,1,1,3,2025/03/10 14:20:26,Da,3,4,2,3,3,2,2,3,1,1,1,4,4,3,4,3,3,3,2,4,2,3,4,3,4,3,3,6,4,4,3,1,4,2,3,3,4,3,4,5,2,4,4,5,3,2,3,4,4,1,5,3,3,4,3,3,3,3,2,3,5,6,7,5,7,7,7,7,7,4,7,4,4,5,5,5,5,5,6,5,4,3,4,2.928571429,3,3,1,1,1,1,9,3.25,1.875,2.8,0.894736842,3.333333333,2,5.333333333,3.466666667,1.833333333,1.608695652
"Da, dar doar elemente de baz?",6,9,Matematic?-informatic?,Nu lucrez în prezent,4,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",5-7 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,3,Proiecte practice,4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Nu, m? descurc s? înv?? singur(?)",2025/03/07 12:38:48,Da,CE3,5,2,1,3,1,3,7,1,1,1,1,3,1,6,1,2,5,1,1,1,3,7,6,1,6,1,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,3,5,1,4,3,5,5,5,5,5,5,5,5,2025/03/10 19:13:53,Da,5,2,5,2,5,4,1,2,5,1,1,5,5,3,5,5,5,4,1,5,3,5,5,5,5,5,5,3,1,6,2,1,1,2,5,1,1,1,5,1,2,1,1,3,1,1,1,1,2,3,1,4,4,4,4,2,2,1,5,4,6,5,7,7,6,7,7,7,7,4,6,6,1,5,7,7,7,7,7,3,7,6,5,5.75,3,4,1,0,0,2,9,3.875,4.75,3.4,1.157894737,2.666666667,2.666666667,5.333333333,1.733333333,2.5,1.652173913
"Da, dar doar elemente de baz?",8,10,Matematic?-informatic?,Lucrez într-un alt domeniu,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin rezolvarea de probleme,5,Proiecte practice,3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 16:02:21,Da,CE3,4,3,5,4,1,4,7,5,7,4,2,5,2,5,2,1,6,2,5,5,4,6,6,1,2,3,3,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,5,5,5,5,5,3,4,4,2025/03/10 15:22:35,Da,1,4,4,2,4,4,2,3,4,1,2,5,5,4,3,4,4,4,2,5,3,5,5,5,5,5,5,5,2,3,3,1,3,3,3,3,3,4,3,3,2,1,4,4,3,3,4,5,4,4,4,4,4,5,5,5,2,4,4,4,6,6,4,7,5,7,7,7,7,4,3,6,5,7,4,6,6,6,6,7,6,5,7,4.607142857,1,2,1,1,1,2,9,4.875,4.125,2.8,1.052631579,4,2.333333333,6.333333333,3.266666667,2.083333333,1.52173913
"Da, dar doar elemente de baz?",7,9,Matematic?-informatic?,Lucrez într-un alt domeniu,3,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Deloc, m? simt confortabil s? înv?? pe cont propriu",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",4,4,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin rezolvarea de probleme,5,Teste gril?,1,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 12:41:41,Da,CE3,4,3,2,4,3,4,3,2,4,3,1,3,3,3,2,1,4,4,3,3,5,7,4,3,3,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,3,4,5,5,5,4,3,3,4,2,2025/03/10 14:29:42,Da,5,5,2,2,4,3,5,5,5,1,1,5,5,3,3,3,5,5,1,3,1,1,3,3,5,3,5,6,6,1,3,6,1,1,5,3,3,2,5,3,2,2,2,2,2,3,1,5,1,2,3,1,2,5,2,5,3,5,1,5,4,7,7,4,7,7,7,2,7,4,7,4,4,2,7,7,4,2,7,2,7,4,7,4.392857143,3,4,1,0,1,2,9,4,3.625,3.9,1.157894737,3.666666667,4.666666667,8.333333333,2.8,1.083333333,1.434782609
"Da, dar doar elemente de baz?",7,10,Matematic?-informatic?,Nu lucrez în prezent,5,4,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Tutoriale video,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,5,Teste gril?,3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, exemple practice pas cu pas",2025/03/07 14:55:13,Da,CE3,6,2,1,7,2,7,6,1,5,2,1,4,1,7,2,3,5,3,2,3,2,7,7,3,6,5,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,4,5,5,4,5,4,5,4,4,3,4,4,3,2025/03/10 14:39:35,Da,3,2,4,4,4,5,3,3,4,1,3,4,5,5,4,4,4,4,2,5,2,3,3,2,4,3,2,5,4,4,1,2,4,2,2,1,2,1,2,2,2,1,2,3,2,2,2,4,3,2,4,3,4,5,4,2,2,2,5,2,7,5,7,6,5,4,6,5,6,4,4,5,5,6,5,6,5,5,6,6,6,5,6,5.25,3,4,1,1,0,2,8,4.625,3.625,3.6,0.947368421,3,1.666666667,4.666666667,1.933333333,2.416666667,1.565217391
"Da, dar doar elemente de baz?",7,7,Matematic?-informatic?,Lucrez într-un alt domeniu,4,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Îmi place analiza datelor,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Exemple practice ?i studii de caz,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Proiecte practice,3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Nu, m? descurc s? înv?? singur(?)",2025/03/07 13:07:32,Da,CE3,5,4,2,3,1,5,5,2,2,4,3,2,1,4,3,2,5,3,4,1,5,6,5,2,4,4,5,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,4,3,5,4,4,3,2,2,2,2025/03/10 18:31:44,Da,3,2,4,4,3,5,5,2,5,1,3,3,4,2,2,3,4,3,4,3,1,4,2,3,3,3,2,6,4,3,3,2,2,3,4,3,4,4,4,3,2,4,4,3,4,3,3,4,3,5,3,5,5,4,3,2,3,4,4,3,5,5,6,6,5,6,7,5,6,4,5,5,5,7,6,6,6,6,7,4,6,6,7,4.571428571,2,4,1,0,1,2,9,4.375,2.875,3.5,0.947368421,3.666666667,3,6.666666667,3.466666667,2.5,1.434782609
